dashuroj	do të kishim dashuruar	V;1;PL;COND;PRF
lëpij	lëpish	V;1;SG;COND;PRS
këmbë	këmbeve	N;DAT;PL;NDEF
lë	paskësh vluar	V;3;SG;ADM;PRF;PST
shpirtëroj	të relaksohen	V;3;PL;SBJV;PRS
mirësi	mirësie	N;GEN;SG;NDEF
zgjohem	ka ka zgjoherë	V;1;SG;IND;PRF;FUT
thaj	të ke tharë	V;1;SG;SBJV;PRF
shurroj	shurronim	V;1;PL;IND;IPFV
përvojë	përvoja	N;NOM;PL;NDEF
ngjitem	do të kishte ngjituar	V;3;SG;COND;PRF
thithkë	thithkqeve	N;ABL;PL;DEF
zbukuroj	do të kenë zbukuruar	V;3;SG;IND;PRF;FUT
mbuloj	mbulofsha	V;1;SG;OPT;PRS
fsheh	do të fshehin	V;2;PL;IND;FUT
zbeh	zbehë	V;1;SG;COND;PRS
ngrij	ngrifë	V;1;SG;COND;PRS
pompoj	patë pompuar	V;3;PL;IND;PRF;PST
argëtoj	argëtoni	V;1;PL;IND;PRS
dashuroj	do të dashurojin	V;3;PL;IND;FUT
tërheq	torhuar	V;1;SG;OPT;PRF
vyshkem	duke vyshuar	V;V.PTCP;PRS
dërmoj	dërmoni	V;2;PL;IND;PRS
stimuloj	pata stimuluar	V;1;SG;IND;PRF;PST
gënjej	do të kishit gënjerë	V;2;PL;COND;PRF
mbarohem	mbaroheme	V;2;SG;IND;IPFV
themeloj	të kishin themeluar	V;3;PL;SBJV;PRF;PST
luftoj	luftu	V;2;SG;IMP
peshoj	qofsh sulmuar	V;2;SG;OPT;PRF
bashkëveproj	do të bashkëveprosh	V;2;SG;IND;FUT
absorboj	do të absorbosh	V;2;SG;IND;FUT
prish	prishanë	V;3;SG;ADM;IPFV
miqësohem	do të kenë miqësuar	V;3;PL;IND;PRF;FUT
peshohem	do të kishin peshuar	V;3;PL;COND;PRF
peshoj	do të peshosh	V;2;SG;IND;FUT
burrëri	burrërie	N;ABL;SG;NDEF
ndihmoj	të ndihmoni	V;2;PL;SBJV;PRS
radiolog	radiologeve	N;DAT;PL;NDEF
copëtoj	të copëtojë	V;1;SG;SBJV;PRS
hidhërohem	patë hidhëruar	V;3;PL;IND;PRF;PST
mbaroj	mbaroi	V;3;SG;IND;PST
bëhem	do të bëhen	V;2;PL;IND;FUT
uroj	do të urojin	V;3;PL;IND;FUT
bashkëveproj	kanë bashkëvepruar	V;3;PL;IND;PRF
gjilpërë	gjilpëre	N;ABL;SG;NDEF
seksolog	seksolog	N;NOM;SG;NDEF
shqiptar	shqiptari	N;DAT;SG;NDEF
grumbulloj	do të grumbullojë	V;3;SG;IND;FUT
skllavëroj	skllavëruar	V;V.PTCP
adhuroj	duke adhuruar	V;V.PTCP;PRS
ndërlikoj	ndërlikonim	V;1;PL;IND;IPFV
çliroj	çliru	V;2;SG;IMP
rri	rri	V;1;SG;IND;PRS
dëmtoj	do të kenë dëmtuar	V;3;PL;IND;PRF;FUT
dëshiroj	dëshiruam	V;1;PL;SBJV;PST
kulturë	kulturë	N;NOM;SG;NDEF
shpresoj	do të kishim shpresuar	V;1;PL;COND;PRF
shpall	të shpallin	V;3;PL;SBJV;PST
mirësoj	mirësoni	V;3;PL;IND;PRS
dhemb	ke dhuar	V;2;SG;IND;PRF
degjoj	degjuar	V;1;SG;COND;PRF
bisedoj	bisedoakësha	V;1;SG;ADM;IPFV
apologji	apologjie	N;GEN;SG;NDEF
dashuri	dashurive	N;ABL;PL;DEF
urinë	urina	N;ACC;SG;DEF
zgjohem	zgjohnë	V;2;SG;COND;PRS
trishtohem	do të trishtohen	V;2;PL;COND;PRS
shtyp	shtypa	V;3;SG;ADM;PRS
zhvillohem	zhvillohen	V;3;SG;ADM;PRS
shurroj	do të kishin shurruar	V;3;PL;OPT;PRF
uroj	të kishe uruar	V;2;SG;SBJV;PRF;PST
dhemb	dhembnit	V;2;PL;IND;IPFV
puth	puthe	V;2;SG;ADM;PRS
udhëzoj	udo të kishim dërmuar	V;1;PL;COND;PRF
apologji	apologjive	N;ABL;PL;DEF
kundërshtoj	të kundërshtoni	V;3;PL;SBJV;PRS
vyshkem	të vyshkenë	V;3;SG;SBJV;PST
asgjësoj	do të ke asgjësuar	V;3;SG;IND;PRF;FUT
lidh	liyekemi	V;1;PL;ADM;PRS
përsos	përsos	V;1;SG;IND;PST
shuaj	shuar	V;1;SG;ADM;PRS
mbretëri	mbretëriat	N;ACC;PL;NDEF
sulmohem	sulmohe	V;2;SG;ADM;PRS
shtrembëroj	shtrembëruakëshe	V;2;SG;ADM;IPFV
ofendoj	do të ofendojmë	V;1;PL;IND;FUT
muaj	muaqeve	N;DAT;PL;DEF
